code,name
C0127625,HGCSPS1992_1992
C0127626,PARTNR1992_1992
C0127627,AGEPTR1992_1992
C0127628,HGCPTR1992_1992
C0127629,MOMHH1992_1992
C0127630,DADHH1992_1992
C0127631,NBISIB1992_1992
C0127801,NHHMEM1993_1993
C0127802,NHADLT1993_1993
C0127803,NHFADT1993_1993
C0127804,NHADWK1993_1993
C0127805,NFADWK1993_1993
C0127806,NAHGC01993_1993
C0127807,NAHGC11993_1993
C0127808,NAHGC21993_1993
C0127809,NAHGC31993_1993
C0127810,NHCHLD1993_1993
C0127811,NH0_21993_1993
C0127812,NH3_51993_1993
C0127813,NH6_111993_1993
C0127814,NH12_171993_1993
C0127815,AGHYST1993_1993
C0127816,NHFCHD1993_1993
C0127817,NFAMEM1993_1993
C0127819,NADFMM1993_1993
C0127820,AGFAMY1993_1993
C0127821,NRSKID1993_1993
C0127822,AGRYST1993_1993
C0127823,SPOUSE1993_1993
C0127824,AGESPS1993_1993
C0127825,HGCSPS1993_1993
C0127826,PARTNR1993_1993
C0127827,AGEPTR1993_1993
C0127828,HGCPTR1993_1993
C0127829,MOMHH1993_1993
C0127830,DADHH1993_1993
C0127831,NBISIB1993_1993
C0127901,NHHMEM1994_1994
C0127902,NHADLT1994_1994
C0127903,NHFADT1994_1994
C0127904,NHADWK1994_1994
C0127905,NFADWK1994_1994
C0127906,NAHGC01994_1994
C0127907,NAHGC11994_1994
C0127908,NAHGC21994_1994
C0127909,NAHGC31994_1994
C0127910,NHCHLD1994_1994
C0127911,NH0_21994_1994
C0127912,NH3_51994_1994
C0127913,NH6_111994_1994
C0127914,NH12_171994_1994
C0127915,AGHYST1994_1994
C0127916,NHFCHD1994_1994
C0127917,NFAMEM1994_1994
C0127919,NADFMM1994_1994
C0127920,AGFAMY1994_1994
C0127921,NRSKID1994_1994
C0127922,AGRYST1994_1994
C0127923,SPOUSE1994_1994
C0127924,AGESPS1994_1994
C0127925,HGCSPS1994_1994
C0127926,PARTNR1994_1994
C0127927,AGEPTR1994_1994
C0127928,HGCPTR1994_1994
C0127929,MOMHH1994_1994
C0127930,DADHH1994_1994
C0127931,NBISIB1994_1994
C0128000,CRES1993_1993
C0128001,NHHMEM1996_1996
C0128002,NHADLT1996_1996
C0128003,NHFADT1996_1996
C0128004,NHADWK1996_1996
C0128005,NFADWK1996_1996
C0128006,NAHGC01996_1996
C0128007,NAHGC11996_1996
C0128008,NAHGC21996_1996
C0128009,NAHGC31996_1996
C0128010,NHCHLD1996_1996
C0128011,NH0_21996_1996
C0128012,NH3_51996_1996
C0128013,NH6_111996_1996
C0128014,NH12_171996_1996
C0128015,AGHYST1996_1996
C0128016,NHFCHD1996_1996
C0128017,NFAMEM1996_1996
C0128019,NADFMM1996_1996
C0128020,AGFAMY1996_1996
C0128021,NRSKID1996_1996
C0128022,AGRYST1996_1996
C0128023,SPOUSE1996_1996
C0128024,AGESPS1996_1996
C0128025,HGCSPS1996_1996
C0128026,PARTNR1996_1996
C0128027,AGEPTR1996_1996
C0128028,HGCPTR1996_1996
C0128029,MOMHH1996_1996
C0128030,DADHH1996_1996
C0128031,NBISIB1996_1996
C0320000,PRE0008_XRND
C0320100,PRE0009_XRND
C0320200,PRE0010_XRND
C0320300,PRE0011_XRND
C0320400,PRE0012_XRND
C0320500,PRE0013_XRND
C0320510,PRE0094_XRND
C0320520,PRE0095_XRND
C0320530,PRE0096_XRND
C0320540,PRE0097_XRND
C0321100,PRE0019_XRND
C0321200,PRE0020_XRND
C0321300,PRE0021_XRND
C0321400,PRE0022_XRND
C0321500,PRE0023_XRND
C0321600,PRE0024_XRND
C0321700,PRE0025_XRND
C0321800,PRE0026_XRND
C0321900,PRE0027_XRND
C0322000,PRE0028_XRND
C0322100,PRE0029_XRND
C0322200,PRE0030_XRND
C0322300,PRE0031_XRND
C0322400,PRE0032_XRND
C0322500,PRE0033_XRND
